directory,filename,fg_name,bg_name,visibility_score
2260314_163430,overlap_FG-4cpd_50nit_0.6_v_BG-2cpd_5nit_1.0.png,4cpd_50nit_0.6_v,2cpd_5nit_1.0,0.4738122224807739
2260314_163430,overlap_FG-4cpd_50nit_0.6_v_BG-4cpd_15nit_1.0.png,4cpd_50nit_0.6_v,4cpd_15nit_1.0,0.42318716645240784
2260314_163430,overlap_FG-4cpd_50nit_0.6_v_BG-4cpd_5nit_1.0.png,4cpd_50nit_0.6_v,4cpd_5nit_1.0,0.444345086812973
2260314_163430,overlap_FG-4cpd_50nit_1.0_h_BG-2cpd_15nit_1.0.png,4cpd_50nit_1.0_h,2cpd_15nit_1.0,0.4606670141220093
2260314_163430,overlap_FG-4cpd_50nit_1.0_h_BG-2cpd_5nit_1.0.png,4cpd_50nit_1.0_h,2cpd_5nit_1.0,0.4823639392852783
2260314_163430,overlap_FG-4cpd_50nit_1.0_h_BG-4cpd_15nit_1.0.png,4cpd_50nit_1.0_h,4cpd_15nit_1.0,0.4298497438430786
2260314_163430,overlap_FG-4cpd_50nit_1.0_h_BG-4cpd_5nit_1.0.png,4cpd_50nit_1.0_h,4cpd_5nit_1.0,0.4537600576877594
2260314_163430,overlap_FG-4cpd_50nit_1.0_v_BG-2cpd_15nit_1.0.png,4cpd_50nit_1.0_v,2cpd_15nit_1.0,0.4613114595413208
2260314_163430,overlap_FG-4cpd_50nit_1.0_v_BG-2cpd_5nit_1.0.png,4cpd_50nit_1.0_v,2cpd_5nit_1.0,0.48260602355003357
2260314_163430,overlap_FG-4cpd_50nit_1.0_v_BG-4cpd_15nit_1.0.png,4cpd_50nit_1.0_v,4cpd_15nit_1.0,0.4292985796928406
2260314_163430,overlap_FG-4cpd_50nit_1.0_v_BG-4cpd_5nit_1.0.png,4cpd_50nit_1.0_v,4cpd_5nit_1.0,0.45326027274131775
2260314_163430,overlap_FG-4cpd_5nit_0.2_h_BG-2cpd_15nit_1.0.png,4cpd_5nit_0.2_h,2cpd_15nit_1.0,0.4250353276729584
2260314_163430,overlap_FG-4cpd_5nit_0.2_h_BG-2cpd_5nit_1.0.png,4cpd_5nit_0.2_h,2cpd_5nit_1.0,0.5034645199775696
2260314_163430,overlap_FG-4cpd_5nit_0.2_h_BG-4cpd_15nit_1.0.png,4cpd_5nit_0.2_h,4cpd_15nit_1.0,0.41050323843955994
2260314_163430,overlap_FG-4cpd_5nit_0.2_h_BG-4cpd_5nit_1.0.png,4cpd_5nit_0.2_h,4cpd_5nit_1.0,0.4694164991378784
2260314_163430,overlap_FG-4cpd_5nit_0.2_v_BG-2cpd_15nit_1.0.png,4cpd_5nit_0.2_v,2cpd_15nit_1.0,0.42529088258743286
2260314_163430,overlap_FG-4cpd_5nit_0.2_v_BG-2cpd_5nit_1.0.png,4cpd_5nit_0.2_v,2cpd_5nit_1.0,0.5037590265274048
2260314_163430,overlap_FG-4cpd_5nit_0.2_v_BG-4cpd_15nit_1.0.png,4cpd_5nit_0.2_v,4cpd_15nit_1.0,0.4099295139312744
2260314_163430,overlap_FG-4cpd_5nit_0.2_v_BG-4cpd_5nit_1.0.png,4cpd_5nit_0.2_v,4cpd_5nit_1.0,0.4688948392868042
2260314_163430,overlap_FG-4cpd_5nit_0.6_h_BG-2cpd_15nit_1.0.png,4cpd_5nit_0.6_h,2cpd_15nit_1.0,0.4319651126861572
2260314_163430,overlap_FG-4cpd_5nit_0.6_h_BG-2cpd_5nit_1.0.png,4cpd_5nit_0.6_h,2cpd_5nit_1.0,0.5141028761863708
2260314_163430,overlap_FG-4cpd_5nit_0.6_h_BG-4cpd_15nit_1.0.png,4cpd_5nit_0.6_h,4cpd_15nit_1.0,0.41665250062942505
2260314_163430,overlap_FG-4cpd_5nit_0.6_h_BG-4cpd_5nit_1.0.png,4cpd_5nit_0.6_h,4cpd_5nit_1.0,0.4775805175304413
2260314_163430,overlap_FG-4cpd_5nit_0.6_v_BG-2cpd_15nit_1.0.png,4cpd_5nit_0.6_v,2cpd_15nit_1.0,0.4325471520423889
2260314_163430,overlap_FG-4cpd_5nit_0.6_v_BG-2cpd_5nit_1.0.png,4cpd_5nit_0.6_v,2cpd_5nit_1.0,0.5146756768226624
2260314_163430,overlap_FG-4cpd_5nit_0.6_v_BG-4cpd_15nit_1.0.png,4cpd_5nit_0.6_v,4cpd_15nit_1.0,0.41595613956451416
2260314_163430,overlap_FG-4cpd_5nit_0.6_v_BG-4cpd_5nit_1.0.png,4cpd_5nit_0.6_v,4cpd_5nit_1.0,0.4771481454372406
2260314_163430,overlap_FG-4cpd_5nit_1.0_h_BG-2cpd_15nit_1.0.png,4cpd_5nit_1.0_h,2cpd_15nit_1.0,0.43743419647216797
2260314_163430,overlap_FG-4cpd_5nit_1.0_h_BG-2cpd_5nit_1.0.png,4cpd_5nit_1.0_h,2cpd_5nit_1.0,0.5214717984199524
2260314_163430,overlap_FG-4cpd_5nit_1.0_h_BG-4cpd_15nit_1.0.png,4cpd_5nit_1.0_h,4cpd_15nit_1.0,0.42080333828926086
2260314_163430,overlap_FG-4cpd_5nit_1.0_h_BG-4cpd_5nit_1.0.png,4cpd_5nit_1.0_h,4cpd_5nit_1.0,0.4836185574531555
2260314_163430,overlap_FG-4cpd_5nit_1.0_v_BG-2cpd_15nit_1.0.png,4cpd_5nit_1.0_v,2cpd_15nit_1.0,0.437921941280365
2260314_163430,overlap_FG-4cpd_5nit_1.0_v_BG-2cpd_5nit_1.0.png,4cpd_5nit_1.0_v,2cpd_5nit_1.0,0.5223825573921204
2260314_163430,overlap_FG-4cpd_5nit_1.0_v_BG-4cpd_15nit_1.0.png,4cpd_5nit_1.0_v,4cpd_15nit_1.0,0.4203747510910034
2260314_163430,overlap_FG-4cpd_5nit_1.0_v_BG-4cpd_5nit_1.0.png,4cpd_5nit_1.0_v,4cpd_5nit_1.0,0.48359429836273193
