Y,pxR,pxG,pxB
9.725806451612903913e+00,3.021632670131449983e-01,3.357588538236697118e-01,3.812683105959565610e-01
9.784750733137830281e+00,3.038612053973880900e-01,3.377787147476916108e-01,3.827363823244418484e-01
9.843695014662756648e+00,3.055591437816311817e-01,3.397985756717135097e-01,3.842044540529271357e-01
9.902639296187683016e+00,3.072570821658742179e-01,3.418184365957353532e-01,3.856725257814124230e-01
9.961583577712609383e+00,3.089550205501173097e-01,3.438382975197572522e-01,3.871405975098976548e-01
1.002052785923753753e+01,3.106529589343604014e-01,3.458581584437792067e-01,3.886086692383829977e-01
1.007947214076246389e+01,3.123508973186034932e-01,3.478780193678011057e-01,3.900767409668682850e-01
1.013841642228739026e+01,3.124418494067373042e-01,3.490670684519847633e-01,3.938578825351976564e-01
1.019736070381231663e+01,3.116741065274845068e-01,3.498121722782396303e-01,3.988750156210009723e-01
1.025630498533724300e+01,3.109063636482317650e-01,3.505572761044944419e-01,4.038921487068042881e-01
1.031524926686216936e+01,3.105224177668187702e-01,3.513156995708832664e-01,4.077852579561305202e-01
1.037419354838709751e+01,3.112381978984469777e-01,3.521122889291943836e-01,4.084576065970891845e-01
1.043313782991202388e+01,3.119539780300750742e-01,3.529088782875054453e-01,4.091299552380478488e-01
1.049208211143695024e+01,3.126697581617032262e-01,3.537054676458165625e-01,4.098023038790065131e-01
1.055102639296187661e+01,3.133855382933313782e-01,3.545020570041276242e-01,4.104746525199651774e-01
1.060997067448680298e+01,3.141013184249594747e-01,3.552986463624387414e-01,4.111470011609238417e-01
1.066891495601173112e+01,3.148170985565876268e-01,3.560952357207498586e-01,4.118193498018825061e-01
1.072785923753665749e+01,3.155328786882157788e-01,3.568918250790609203e-01,4.124916984428411704e-01
1.078680351906158386e+01,3.162486588198439308e-01,3.576884144373719820e-01,4.131640470837998347e-01
1.084574780058651022e+01,3.169644389514720828e-01,3.584850037956830993e-01,4.138363957247584990e-01
1.090469208211143659e+01,3.176802190831001793e-01,3.592815931539941610e-01,4.145087443657171633e-01
1.096363636363636296e+01,3.183959992147283313e-01,3.600781825123052782e-01,4.151810930066758276e-01
1.102258064516129110e+01,3.191117793463564833e-01,3.608747718706163954e-01,4.158534416476345474e-01
1.108152492668621747e+01,3.198275594779846354e-01,3.616713612289274571e-01,4.165257902885932118e-01
1.114046920821114384e+01,3.205433396096127319e-01,3.624679505872385743e-01,4.171981389295518761e-01
1.119941348973607020e+01,3.212591197412408839e-01,3.632645399455496360e-01,4.178704875705105404e-01
1.125835777126099657e+01,3.219748998728690359e-01,3.640611293038606977e-01,4.185428362114692047e-01
1.131730205278592294e+01,3.226906800044971879e-01,3.648577186621718149e-01,4.192151848524278690e-01
1.137624633431085108e+01,3.234064601361253399e-01,3.656543080204829321e-01,4.198875334933865333e-01
1.143519061583577745e+01,3.241222402677534364e-01,3.664508973787939938e-01,4.205598821343451976e-01
1.149413489736070382e+01,3.248380203993815885e-01,3.672474867371051110e-01,4.212322307753038619e-01
1.155307917888563018e+01,3.255538005310097405e-01,3.680440760954161727e-01,4.219045794162625262e-01
