Y,pxR,pxG,pxB
1.720674486803519088e+01,3.732314621607917826e-01,4.291672662929671977e-01,4.698599972344191245e-01
1.723621700879765228e+01,3.735296171093988038e-01,4.295156369363684057e-01,4.702582904355480653e-01
1.726568914956011724e+01,3.738275135430733642e-01,4.298636905138443765e-01,4.706562453035272875e-01
1.729516129032257865e+01,3.741251521151881532e-01,4.302114278580424500e-01,4.710538626980122490e-01
1.732463343108504361e+01,3.744225334763841007e-01,4.305588497979996876e-01,4.714511434750252028e-01
1.735410557184750502e+01,3.747196582745846438e-01,4.309059571591642435e-01,4.718480884869762360e-01
1.738357771260996998e+01,3.750165271550133239e-01,4.312527507634173474e-01,4.722446985826851407e-01
1.741304985337243494e+01,3.753131407602076641e-01,4.315992314290947318e-01,4.726409746074020091e-01
1.744252199413489635e+01,3.756094997300361560e-01,4.319453999710075598e-01,4.730369174028284385e-01
1.747199413489736131e+01,3.759056047017134694e-01,4.322912572004641296e-01,4.734325278071385701e-01
1.750146627565982271e+01,3.762014563098146080e-01,4.326368039252904141e-01,4.738278066549992951e-01
1.753093841642228767e+01,3.764970551862921178e-01,4.329820409498512657e-01,4.742227547775911822e-01
1.756041055718474908e+01,3.767924019604893537e-01,4.333269690750704561e-01,4.746173730026283510e-01
1.758988269794721404e+01,3.770874972591570229e-01,4.336715890984519928e-01,4.750116621543794548e-01
1.761935483870967545e+01,3.773823417064668395e-01,4.340159018140999359e-01,4.754056230536867211e-01
1.764882697947214041e+01,3.776769359240270130e-01,4.343599080127385492e-01,4.757992565179867128e-01
1.767829912023460537e+01,3.779712805308969026e-01,4.347036084817327839e-01,4.761925633613297015e-01
1.770777126099706678e+01,3.782653761436011730e-01,4.350470040051074849e-01,4.765855443943990410e-01
1.773724340175953174e+01,3.785592233761449488e-01,4.353900953635679305e-01,4.769782004245314289e-01
1.776671554252199314e+01,3.788528228400272480e-01,4.357328833345187058e-01,4.773705322557350028e-01
1.779618768328445810e+01,3.791461751442564143e-01,4.360753686920835759e-01,4.777625406887097692e-01
1.782565982404691951e+01,3.794392808953634955e-01,4.364175522071245261e-01,4.781542265208657549e-01
1.785513196480938447e+01,3.797321406974153990e-01,4.367594346472611910e-01,4.785455905463423809e-01
1.788460410557184588e+01,3.800247551520315459e-01,4.371010167768895616e-01,4.789366335560267807e-01
1.791407624633431084e+01,3.803171248583946396e-01,4.374422993572009699e-01,4.793273563375729518e-01
1.794354838709677580e+01,3.806092504132665977e-01,4.377832831462007412e-01,4.797177596754197970e-01
