Y,pxR,pxG,pxB
5.305324865657058631e+00,2.123819616849061120e-01,2.511721935047004362e-01,2.619967207129109688e-01
5.334636052760136415e+00,2.129476006309037883e-01,2.518292982966008897e-01,2.627175165343688112e-01
5.363947239863214200e+00,2.135116342749062701e-01,2.524845074707717796e-01,2.634363295179940612e-01
5.393258426966291985e+00,2.140740759078132160e-01,2.531378368096797726e-01,2.641531759090899323e-01
5.422569614069369770e+00,2.146349386389483638e-01,2.537893018794500355e-01,2.648680717324136680e-01
5.451880801172447555e+00,2.151942353995063284e-01,2.544389180339836631e-01,2.655810327963453177e-01
5.481191988275525340e+00,2.157519789459166060e-01,2.550867004189749099e-01,2.662920746969551500e-01
5.510503175378602236e+00,2.163081818631265862e-01,2.557326639758313869e-01,2.670012128219739211e-01
5.539814362481680021e+00,2.168628565678047682e-01,2.563768234454999462e-01,2.677084623546679421e-01
5.569125549584757806e+00,2.174160153114688687e-01,2.570191933722011379e-01,2.684138382776216636e-01
5.598436736687835591e+00,2.179676701835382147e-01,2.576597881070749607e-01,2.691173553764313331e-01
5.627747923790913376e+00,2.185178331143152741e-01,2.582986218117400146e-01,2.698190282433114429e-01
5.657059110893991161e+00,2.190665158778968280e-01,2.589357084617693316e-01,2.705188712806164686e-01
5.686370297997068946e+00,2.196137300950163629e-01,2.595710618500842171e-01,2.712168987042812840e-01
5.715681485100146730e+00,2.201594872358211552e-01,2.602046955902695413e-01,2.719131245471809177e-01
5.744992672203224515e+00,2.207037986225850179e-01,2.608366231198121499e-01,2.726075626624137049e-01
5.774303859306301412e+00,2.212466754323581253e-01,2.614668577032640551e-01,2.733002267265086105e-01
5.803615046409379197e+00,2.217881286995570522e-01,2.620954124353337966e-01,2.739911302425593886e-01
5.832926233512456982e+00,2.223281693184946395e-01,2.627223002439067479e-01,2.746802865432881324e-01
5.862237420615534766e+00,2.228668080458531264e-01,2.633475338929968101e-01,2.753677087940387125e-01
5.891548607718612551e+00,2.234040555031020781e-01,2.639711259856318826e-01,2.760534099957037135e-01
5.920859794821690336e+00,2.239399221788606620e-01,2.645930889666737174e-01,2.767374029875854236e-01
5.950170981924768121e+00,2.244744184312086888e-01,2.652134351255754363e-01,2.774197004501933184e-01
5.979482169027845018e+00,2.250075544899446944e-01,2.658321765990768748e-01,2.781003149079797065e-01
6.008793356130922803e+00,2.255393404587956452e-01,2.664493253738411394e-01,2.787792587320149229e-01
6.038104543234000587e+00,2.260697863175770150e-01,2.670648932890318239e-01,2.794565441426038466e-01
6.067415730337078372e+00,2.265989019243057623e-01,2.676788920388349924e-01,2.801321832118451871e-01
6.096726917440156157e+00,2.271266970172673982e-01,2.682913331749250396e-01,2.808061878661358701e-01
6.126038104543233942e+00,2.276531812170381475e-01,2.689022281088776500e-01,2.814785698886201337e-01
6.155349291646311727e+00,2.281783640284634207e-01,2.695115881145299652e-01,2.821493409215871107e-01
6.184660478749389512e+00,2.287022548425940438e-01,2.701194243302905695e-01,2.828185124688162300e-01
6.213971665852467297e+00,2.292248629385802150e-01,2.707257477613997376e-01,2.834860958978730472e-01
6.243282852955544193e+00,2.297461974855265487e-01,2.713305692821410542e-01,2.841521024423563357e-01
6.272594040058621978e+00,2.302662675443066798e-01,2.719338996380069595e-01,2.848165432040977163e-01
6.301905227161699763e+00,2.307850820693398697e-01,2.725357494478178877e-01,2.854794291553149344e-01
6.331216414264777548e+00,2.313026499103310041e-01,2.731361292057969958e-01,2.861407711407203958e-01
6.360527601367855333e+00,2.318189798139729252e-01,2.737350492836014837e-01,2.868005798795855710e-01
6.389838788470933117e+00,2.323340804256147085e-01,2.743325199323120023e-01,2.874588659677627667e-01
6.419149975574010902e+00,2.328479602908947454e-01,2.749285512843799295e-01,2.881156398796649865e-01
6.448461162677087799e+00,2.333606278573402415e-01,2.755231533555355106e-01,2.887709119702054350e-01
6.477772349780165584e+00,2.338720914759336300e-01,2.761163360466557526e-01,2.894246924766972762e-01
6.507083536883243369e+00,2.343823594026480106e-01,2.767081091455949604e-01,2.900769915207145888e-01
6.536394723986321154e+00,2.348914397999499470e-01,2.772984823289776912e-01,2.907278191099156861e-01
