Y,pxR,pxG,pxB
1.576246334310850372e+01,3.548148009924888546e-01,4.113074862451040481e-01,4.657546121717921483e-01
1.579178885630498463e+01,3.551015916477299195e-01,4.116191975758501931e-01,4.660947142118570530e-01
1.582111436950146555e+01,3.553883823029709843e-01,4.119309089065962826e-01,4.664348162519219576e-01
1.585043988269794646e+01,3.556751729582120491e-01,4.122426202373424275e-01,4.667749182919868622e-01
1.587976539589442737e+01,3.559619636134531140e-01,4.125543315680885725e-01,4.671150203320517669e-01
1.590909090909091006e+01,3.562487542686941788e-01,4.128660428988346620e-01,4.674551223721166715e-01
1.593841642228738920e+01,3.565355449239351882e-01,4.131777542295808070e-01,4.677952244121815761e-01
1.596774193548387188e+01,3.568223355791763085e-01,4.134894655603268965e-01,4.681353264522464808e-01
1.599706744868035102e+01,3.571091262344173178e-01,4.138011768910730415e-01,4.684754284923113854e-01
1.602639296187683371e+01,3.573959168896584382e-01,4.141128882218191309e-01,4.688155305323763455e-01
1.605571847507331285e+01,3.576827075448994475e-01,4.144245995525652759e-01,4.691556325724411947e-01
1.608504398826979553e+01,3.579694982001405679e-01,4.147363108833113654e-01,4.694957346125061548e-01
1.611436950146627467e+01,3.582562888553815772e-01,4.150480222140575104e-01,4.698358366525710039e-01
1.614369501466275736e+01,3.585430795106226420e-01,4.153597335448035999e-01,4.701759386926359641e-01
1.617302052785923649e+01,3.588298701658637069e-01,4.156714448755497449e-01,4.705160407327008132e-01
1.620234604105571918e+01,3.591166608211047717e-01,4.159831562062958898e-01,4.708561427727657733e-01
1.623167155425219832e+01,3.594034514763458366e-01,4.162948675370419793e-01,4.711962448128306225e-01
1.626099706744868101e+01,3.596902421315869014e-01,4.166065788677881243e-01,4.715363468528955826e-01
1.629032258064516014e+01,3.599770327868279662e-01,4.169182901985342138e-01,4.718764488929604317e-01
1.631964809384164283e+01,3.602638234420690311e-01,4.172300015292803588e-01,4.722165509330253919e-01
1.634897360703812197e+01,3.605506140973100959e-01,4.175417128600264483e-01,4.725566529730902410e-01
1.637829912023460466e+01,3.608374047525511608e-01,4.178534241907725932e-01,4.728967550131552011e-01
1.640762463343108379e+01,3.611241954077922256e-01,4.181651355215186827e-01,4.732368570532200502e-01
1.643695014662756648e+01,3.614109860630332904e-01,4.184768468522648277e-01,4.735769590932850104e-01
1.646627565982404562e+01,3.616977767182743553e-01,4.187885581830109172e-01,4.739170611333498595e-01
1.649560117302052831e+01,3.619845673735154201e-01,4.191002695137570622e-01,4.742571631734148196e-01
1.652492668621700744e+01,3.622713580287564294e-01,4.194119808445031516e-01,4.745972652134796688e-01
1.655425219941349013e+01,3.625581486839975498e-01,4.197236921752492966e-01,4.749373672535446289e-01
1.658357771260996927e+01,3.628449393392385591e-01,4.200354035059953861e-01,4.752774692936094780e-01
1.661290322580645196e+01,3.631317299944796795e-01,4.203471148367415311e-01,4.756175713336744382e-01
1.664222873900293109e+01,3.634185206497206888e-01,4.206588261674876206e-01,4.759576733737392873e-01
1.667155425219941378e+01,3.637053113049618092e-01,4.209705374982337656e-01,4.762977754138042474e-01
1.670087976539589292e+01,3.639921019602028185e-01,4.212822488289798550e-01,4.766378774538690966e-01
1.673020527859237561e+01,3.642788926154438833e-01,4.215939601597260000e-01,4.769779794939340567e-01
1.675953079178885474e+01,3.645656832706849482e-01,4.219056714904720895e-01,4.773180815339989058e-01
1.678885630498533743e+01,3.648524739259260130e-01,4.222173828212182345e-01,4.776581835740638660e-01
1.681818181818182012e+01,3.651392645811671334e-01,4.225290941519643795e-01,4.779982856141287706e-01
1.684750733137829926e+01,3.654260552364081427e-01,4.228408054827104690e-01,4.783383876541936752e-01
1.687683284457477839e+01,3.657128458916492075e-01,4.231525168134565584e-01,4.786784896942585243e-01
1.690615835777126108e+01,3.659996365468902724e-01,4.234642281442027034e-01,4.790185917343234845e-01
1.693548387096774377e+01,3.662864272021313372e-01,4.237759394749488484e-01,4.793586937743883891e-01
1.696480938416422291e+01,3.665732178573724021e-01,4.240876508056949379e-01,4.796987958144532938e-01
