Distance1(cm),Distance2(cm),Image_Win1,Image_Win2,Score
50,100,FG_4_5_1.0_BG_2_5_0.5.png,FG_4_5_1.0_BG_2_5_0.5.png,0.33504727482795715
50,100,FG_4_5_1.0_BG_2_5_1.0.png,FG_4_5_1.0_BG_2_5_1.0.png,0.3060115873813629
50,100,FG_4_5_1.0_BG_4_15_0.5.png,FG_4_5_1.0_BG_4_15_0.5.png,0.2693624496459961
50,100,FG_4_5_1.0_BG_4_15_1.0.png,FG_4_5_1.0_BG_4_15_1.0.png,0.2605477571487427
50,100,FG_4_5_1.0_BG_4_5_0.5.png,FG_4_5_1.0_BG_4_5_0.5.png,0.3175968825817108
50,100,FG_4_5_1.0_BG_4_5_1.0.png,FG_4_5_1.0_BG_4_5_1.0.png,0.28631603717803955
50,70,FG_2_50_0.5_BG_2_15_0.5.png,FG_2_50_0.5_BG_2_15_0.5.png,0.3876309096813202
50,70,FG_2_50_0.5_BG_2_15_1.0.png,FG_2_50_0.5_BG_2_15_1.0.png,0.3721742630004883
50,70,FG_2_50_0.5_BG_2_5_0.5.png,FG_2_50_0.5_BG_2_5_0.5.png,0.4321901798248291
50,70,FG_2_50_0.5_BG_2_5_1.0.png,FG_2_50_0.5_BG_2_5_1.0.png,0.42613548040390015
50,70,FG_2_50_0.5_BG_4_15_0.5.png,FG_2_50_0.5_BG_4_15_0.5.png,0.3845433294773102
50,70,FG_2_50_0.5_BG_4_15_1.0.png,FG_2_50_0.5_BG_4_15_1.0.png,0.37193652987480164
50,70,FG_2_50_0.5_BG_4_5_0.5.png,FG_2_50_0.5_BG_4_5_0.5.png,0.41717246174812317
50,70,FG_2_50_0.5_BG_4_5_1.0.png,FG_2_50_0.5_BG_4_5_1.0.png,0.41557934880256653
50,70,FG_2_50_1.0_BG_2_15_0.5.png,FG_2_50_1.0_BG_2_15_0.5.png,0.39858126640319824
50,70,FG_2_50_1.0_BG_2_15_1.0.png,FG_2_50_1.0_BG_2_15_1.0.png,0.3831409215927124
50,70,FG_2_50_1.0_BG_2_5_0.5.png,FG_2_50_1.0_BG_2_5_0.5.png,0.44237440824508667
50,70,FG_2_50_1.0_BG_2_5_1.0.png,FG_2_50_1.0_BG_2_5_1.0.png,0.4384324252605438
50,70,FG_2_50_1.0_BG_4_15_0.5.png,FG_2_50_1.0_BG_4_15_0.5.png,0.38996970653533936
50,70,FG_2_50_1.0_BG_4_15_1.0.png,FG_2_50_1.0_BG_4_15_1.0.png,0.37859007716178894
50,70,FG_2_50_1.0_BG_4_5_0.5.png,FG_2_50_1.0_BG_4_5_0.5.png,0.4293653964996338
50,70,FG_2_50_1.0_BG_4_5_1.0.png,FG_2_50_1.0_BG_4_5_1.0.png,0.42708614468574524
50,70,FG_2_5_0.5_BG_2_15_0.5.png,FG_2_5_0.5_BG_2_15_0.5.png,0.26258036494255066
50,70,FG_2_5_0.5_BG_2_15_1.0.png,FG_2_5_0.5_BG_2_15_1.0.png,0.2502824068069458
50,70,FG_2_5_0.5_BG_2_5_0.5.png,FG_2_5_0.5_BG_2_5_0.5.png,0.3047081530094147
50,70,FG_2_5_0.5_BG_2_5_1.0.png,FG_2_5_0.5_BG_2_5_1.0.png,0.28388890624046326
50,70,FG_2_5_0.5_BG_4_15_0.5.png,FG_2_5_0.5_BG_4_15_0.5.png,0.25866153836250305
50,70,FG_2_5_0.5_BG_4_15_1.0.png,FG_2_5_0.5_BG_4_15_1.0.png,0.24845370650291443
